param no_time_periods := 5;
param : no_demand_bids :=
1 20
2 20
3 20
4 20
5 20
; 

param : no_supply_bids :=
1 20
2 20
3 20
4 20
5 20
;

param no_block_bids := 11;
param : Type Volume Price beginPeriod endPeriod := 
1	supply	155	55.1	1	4
2	supply	55	35.0	2	5
3	supply	141	22.9	3	5
4	supply	18	29.5	2	4
5	supply	25	40.0	2	4
6	supply	14	55.5	2	4
7	supply	20	24.9	3	5
8	supply	28	36.0	1	3
9	supply	180	43.2	1	5
10	supply	47	46.5	2	5
11	supply 1100 24.8  	2	5
;

param : InputQD   InputPD    :=
1	1	265	16.5
1	2	1	76.6
1	3	179	32.5
1	4	18	29.0
1	5	222	41.6
1	6	20	0.3
1	7	2	29.7
1	8	3	35.3
1	9	73	16.5
1	10	2	14.9
1	11	13	31.1
1	12	2	6.9
1	13	21	49.2
1	14	21	33.0
1	15	1	25.0
1	16	31	23.7
1	17	114	12.3
1	18	114	29.1
1	19	328	1.3
1	20	247	26.5
2	1	815	52.7
2	2	1	63.2
2	3	190	50.3
2	4	18	23.2
2	5	249	51.0
2	6	21	35.2
2	7	3	12.3
2	8	74	27.3
2	9	11	27.9
2	10	16	3.3
2	11	122	30.4
2	12	37	24.8
2	13	33	29.0
2	14	26	29.5
2	15	151	20.4
2	16	165	18.1
2	17	134	27.4
2	18	114	15.5
2	19	30	0.5
2	20	22	34.1
3	1	846	83.2
3	2	1	56.4
3	3	172	47.3
3	4	16	27.0
3	5	249	63.5
3	6	3	34.4
3	7	70	32.7
3	8	17	23.2
3	9	20	25.1
3	10	32	30.8
3	11	32	0.4
3	12	116	18.5
3	13	116	21.9
3	14	151	20.6
3	15	164	11.0
3	16	128	21.2
3	17	23	17.4
3	18	136	1.4
3	19	12	15.7
3	20	375	31.7
4	1	873	67.5
4	2	1	66.2
4	3	172	53.0
4	4	17	0.3
4	5	212	60.0
4	6	34	36.5
4	7	3	34.1
4	8	70	26.4
4	9	13	27.0
4	10	20	9.9
4	11	24	2.4
4	12	120	23.6
4	13	32	25.9
4	14	132	20.3
4	15	33	24.9
4	16	232	16.0
4	17	11	22.1
4	18	162	1.5
4	19	162	11.2
4	20	33	27.6
5	1	821	75.7
5	2	1	58.8
5	3	188	44.5
5	4	17	4.1
5	5	243	42.5
5	6	345	53.3
5	7	40	11.9
5	8	3	7.5
5	9	68	20.2
5	10	32	26.1
5	11	12	32.2
5	12	28	30.0
5	13	120	0.3
5	14	28	34.0
5	15	31	25.3
5	16	19	31.1
5	17	181	27.7
5	18	204	22.4
5	19	167	20.8
5	20	242	11.7
;

param :  InputQS InputPS    :=
1	1	378	28.5
1	2	35	41.4
1	3	119	4.0
1	4	13	11.4
1	5	8	33.6
1	6	76	14.7
1	7	26	47.5
1	8	99	51.9
1	9	101	17.7
1	10	38	7.5
1	11	138	21.5
1	12	56	37.2
1	13	64	46.2
1	14	54	43.7
1	15	71	0.1
1	16	8	40.3
1	17	61	15.5
1	18	203	18.8
1	19	98	22.9
1	20	33	48.5
2	1	878	9.1
2	2	122	25.8
2	3	9	36.5
2	4	12	15.8
2	5	6	31.2
2	6	155	38.9
2	7	70	34.3
2	8	6	44.2
2	9	79	35.7
2	10	157	41.5
2	11	24	0.1
2	12	265	45.3
2	13	39	13.5
2	14	30	40.1
2	15	102	45.0
2	16	6	6.6
2	17	63	42.2
2	18	64	11.3
2	19	8	33.2
2	20	63	49.8
3	1	820	27.8
3	2	75	41.7
3	3	12	36.9
3	4	11	32.4
3	5	9	27.1
3	6	12	0.1
3	7	162	40.7
3	8	7	15.1
3	9	73	48.4
3	10	121	38.1
3	11	23	13.5
3	12	109	35.7
3	13	37	12.6
3	14	9	51.3
3	15	68	25.7
3	16	206	44.5
3	17	61	5.6
3	18	34	19.4
3	19	63	39.2
3	20	63	47.2
4	1	182	22.4
4	2	36	29.7
4	3	9	34.1
4	4	13	45.1
4	5	9	6.1
4	6	449	49.5
4	7	98	40.1
4	8	111	12.3
4	9	118	21.3
4	10	37	10.4
4	11	70	31.9
4	12	64	33.1
4	13	66	41.2
4	14	67	8.7
4	15	61	0.1
4	16	8	42.1
4	17	65	16.4
4	18	230	17.5
4	19	109	33.7
4	20	29	37.9
5	1	674	36.5
5	2	159	33.0
5	3	152	4.4
5	4	35	6.6
5	5	38	0.1
5	6	99	16.1
5	7	140	48.8
5	8	27	31.7
5	9	28	41.7
5	10	51	37.5
5	11	78	39.7
5	12	48	11.8
5	13	152	51.7
5	14	38	1.0
5	15	41	59.5
5	16	66	8.7
5	17	66	45.1
5	18	97	22.3
5	19	40	58.7
5	20	34	34.9
;
